國文,英文,數學,社會,自然
9,14,9,15,15
13,7,12,10,10
15,13,9,7,14
8,13,10,12,14
11,15,13,11,6
14,11,9,11,10
13,13,15,8,8
8,6,11,12,8
8,13,9,12,9
9,8,11,8,12
11,13,11,8,10
10,13,10,8,6
6,15,11,10,11
9,8,15,11,6
15,7,13,9,12
14,6,14,13,7
13,6,11,7,7
10,6,15,9,6
13,9,11,6,9
14,12,6,7,13
14,11,14,11,12
11,12,15,14,6
10,9,13,12,11
6,7,9,15,10
7,12,8,14,7
14,14,13,9,9
9,14,13,13,13
8,7,6,15,13
8,7,11,7,8
9,10,13,15,13
6,12,11,10,13
11,10,11,15,15
11,15,15,11,15
11,11,9,11,13
12,12,9,15,11
10,6,11,11,13
6,8,9,6,7
14,15,14,6,14
13,14,7,11,7
6,6,6,12,14
10,8,10,10,7
13,7,6,15,6
8,10,10,12,6
10,14,7,9,12
9,14,11,7,15
10,6,14,6,8
7,13,12,12,7
6,8,6,9,9
9,15,6,8,15
14,15,15,8,6
10,10,11,6,12
9,9,12,13,7
14,14,14,10,7
8,11,13,12,15
15,14,11,11,12
8,6,12,14,10
6,6,11,13,15
7,7,13,6,14
7,15,7,12,7
13,8,12,15,12
11,7,15,10,10
10,10,12,13,12
10,7,9,12,15
9,7,8,15,15
8,14,6,11,12
13,9,13,7,7
10,7,13,12,14
15,8,12,14,10
9,9,6,6,12
9,12,9,11,8
15,7,10,11,14
9,7,8,9,7
8,6,6,8,10
15,7,7,11,15
10,11,9,9,14
12,12,15,6,15
7,15,8,14,6
7,7,12,7,7
14,6,6,8,10
13,14,6,13,15
6,6,6,10,11
14,6,10,6,14
8,8,11,6,14
7,11,12,12,9
12,7,10,6,13
10,11,8,8,10
6,7,7,8,15
10,15,11,8,10
14,7,6,10,15
6,11,8,13,9
11,12,9,7,15
10,8,6,8,11
13,14,8,7,11
13,11,15,12,11
7,6,13,6,11
12,9,9,7,6
9,6,15,12,13
13,14,11,13,14
13,13,14,11,11
9,15,8,9,7
